Customer_ID,Prefix,First_Name,Last_Name,Birth_Date,Marital_Status,Gender,Email_Address,Occupation,Full_Name,Customer_Priority,Birth_Year
11000,Mr.,Jon,Yang,8/04/1966,M,M,jon24@oz-store.com,Professional,Mr. Jon Yang,Standard,1966
11001,Mr.,Eugene,Huang,14/05/1965,S,M,eugene10@oz-store.com,Professional,Mr. Eugene Huang,Standard,1965
11002,Mr.,Ruben,Torres,12/08/1965,M,M,ruben35@oz-store.com,Professional,Mr. Ruben Torres,Standard,1965
11003,Ms.,Christy,Zhu,15/02/1968,S,F,christy12@oz-store.com,Professional,Ms. Christy Zhu,Standard,1968
11004,Mrs.,Elizabeth,Johnson,8/08/1968,S,F,elizabeth5@oz-store.com,Professional,Mrs. Elizabeth Johnson,Standard,1968
11005,Mr.,Julio,Ruiz,5/08/1965,S,M,julio1@oz-store.com,Professional,Mr. Julio Ruiz,Standard,1965
11007,Mr.,Marco,Mehta,9/05/1964,M,M,marco14@oz-store.com,Professional,Mr. Marco Mehta,Standard,1964
11008,Mrs.,Robin,Verhoff,7/07/1964,S,F,rob4@oz-store.com,Professional,Mrs. Robin Verhoff,Standard,1964
11009,Mr.,Shannon,Carlson,1/04/1964,S,M,shannon38@oz-store.com,Professional,Mr. Shannon Carlson,Standard,1964
11010,Ms.,Jacquelyn,Suarez,6/02/1964,S,F,jacquelyn20@oz-store.com,Professional,Ms. Jacquelyn Suarez,Standard,1964
11011,Mr.,Curtis,Lu,4/11/1963,M,M,curtis9@oz-store.com,Professional,Mr. Curtis Lu,Standard,1963
11012,Mrs.,Lauren,Walker,18/01/1968,M,F,lauren41@oz-store.com,Management,Mrs. Lauren Walker,Standard,1968
11013,Mr.,Ian,Jenkins,6/08/1968,M,M,ian47@oz-store.com,Management,Mr. Ian Jenkins,Standard,1968
11014,Mrs.,Sydney,Bennett,9/05/1968,S,F,sydney23@oz-store.com,Management,Mrs. Sydney Bennett,Standard,1968
11015,Ms.,Chloe,Young,27/02/1979,S,F,chloe23@oz-store.com,Skilled Manual,Ms. Chloe Young,Standard,1979
11016,Mr.,Wyatt,Hill,28/04/1979,M,M,wyatt32@oz-store.com,Skilled Manual,Mr. Wyatt Hill,Standard,1979
11017,Mrs.,Shannon,Wang,26/06/1944,S,F,shannon1@oz-store.com,Skilled Manual,Mrs. Shannon Wang,Standard,1944
11018,Mr.,Clarence,Rai,9/10/1944,S,M,clarence32@oz-store.com,Clerical,Mr. Clarence Rai,Standard,1944
11019,Mr.,Luke,Lal,7/03/1978,S,M,luke18@oz-store.com,Skilled Manual,Mr. Luke Lal,Standard,1978
11020,Mr.,Jordan,King,20/09/1978,S,M,jordan73@oz-store.com,Skilled Manual,Mr. Jordan King,Standard,1978
11021,Ms.,Destiny,Wilson,3/09/1978,S,F,destiny7@oz-store.com,Skilled Manual,Ms. Destiny Wilson,Standard,1978
11022,Mr.,Ethan,Zhang,12/10/1978,M,M,ethan20@oz-store.com,Skilled Manual,Mr. Ethan Zhang,Standard,1978
11023,Mr.,Seth,Edwards,11/10/1978,M,M,seth46@oz-store.com,Skilled Manual,Mr. Seth Edwards,Standard,1978
11024,Mr.,Russell,Xie,17/09/1978,M,M,russell7@oz-store.com,Skilled Manual,Mr. Russell Xie,Standard,1978
11025,,Alejandro,Beck,23/12/1945,M,NA,alejandro45@oz-store.com,Clerical, Alejandro Beck,Standard,1945
11026,Mr.,Harold,Sai,3/04/1946,S,M,harold3@oz-store.com,Clerical,Mr. Harold Sai,Standard,1946
11027,Mr.,Jessie,Zhao,7/12/1946,M,M,jessie16@oz-store.com,Clerical,Mr. Jessie Zhao,Standard,1946
11028,Mrs.,Jill,Jimenez,11/04/1946,M,F,jill13@oz-store.com,Clerical,Mrs. Jill Jimenez,Standard,1946
11029,Mr.,Jimmy,Moreno,21/12/1946,M,M,jimmy9@oz-store.com,Clerical,Mr. Jimmy Moreno,Standard,1946
11030,Mrs.,Bethany,Yuan,22/02/1947,M,F,bethany10@oz-store.com,Clerical,Mrs. Bethany Yuan,Standard,1947
11031,Mrs.,Theresa,Ramos,22/08/1947,M,F,theresa13@oz-store.com,Skilled Manual,Mrs. Theresa Ramos,Standard,1947
11032,Mrs.,Denise,Stone,11/06/1947,M,F,denise10@oz-store.com,Skilled Manual,Mrs. Denise Stone,Standard,1947
11033,Mr.,Jaime,Nath,23/09/1947,M,M,jaime41@oz-store.com,Skilled Manual,Mr. Jaime Nath,Standard,1947
